373.34,Merci,Coral
961.61,Imojean,Charmaine
117.9,Ana,Daphne
941.88,Cordi,Clementine
498.97,Tilly,Delilah
871.84,Mara,Amalie
432.87,Elie,Margarette
154.73,Charmaine,Nannie
596.76,Etta,Keelia
443.55,Courtnay,Angela
359.93,Glynnis,Paulita
106.54,Rosabelle,Jobi
871.95,Estell,Kristina
824.25,Myriam,Agathe
764.78,Rani,Kirbee
53.78,Merci,Lelah
229.4,Selma,Corly
805.31,Deane,Addia
216.12,Sherrie,Sandie
552.8,Hollie,Consuela
382.19,Katleen,Bernie
640.91,Marita,Livvyy
759.83,Katleen,Quintina
672.41,Dagmar,Sharai
68.96,Atlanta,Orsola
830.47,Clo,Maurene
689.27,Rebeca,Christal
421.4,Laure,Ira
996.96,Tabbatha,Roxane
629.29,Wanda,Melisent
244.72,Trixi,Anthia
990.13,Cristabel,Andree
176.15,Dorothy,Sindee
995.45,Jere,Jacenta
898.19,Elora,Darci
1.64,Eolanda,Kary
735.54,Sindee,Constance
344.13,Maud,Gilligan
212.52,Shannah,Teriann
214.18,Gale,Nerta
179.1,Coral,Chandra
843.74,Emelina,Gretal
64.05,Karolina,Flo
216.09,Elie,Glenda
948.22,Linet,Celene
624.43,Rosene,Ileana
778.53,Teddie,Olivette
595.34,Courtnay,Taffy
994.97,Vinita,Lynde
245.1,Bobbi,Jorry
166.36,Harrietta,Vonny
373.76,Rani,Betta
231.49,Thalia,Louella
268.3,Sandie,Fayre
996.92,Natka,Olwen
80.81,Adelle,Rozele
656.48,Amelia,Ninnetta
932.69,Bobbi,Ottilie
263.71,Antonietta,Glenda
976.09,Brandise,Tomasina
963.76,Ebonee,Gale
383.4,Sean,Lusa
879.65,Antonietta,Kial
190.3,Lulita,Madelle
169.88,Kaia,Olivette
767.82,Roslyn,Janey
334.86,Phylis,Melisent
126.45,Constance,Kaja
527.26,Kittie,Johna
8.22,Lily,Therine
88.64,Nerta,Bee
634.52,Dione,Stacey
22.74,Alie,Elise
178.31,Veda,Florie
987.59,Priscilla,Maurene
698.33,Maryellen,Priscilla
29.43,Helsa,Tiffie
246.55,Lynea,Vonny
331.73,Joceline,Dorene
293.61,Judy,Paola
339.24,Delilah,Brana
401.07,Pierette,Darci
862.7,Claudina,Mariann
966.22,Rosaline,Tilly
721.77,Carmencita,Deirdre
856.61,June,Clary
478.01,Joelly,Rozele
448.89,Annabela,Wileen
148.94,Rhea,Dulcinea
47.36,Daphne,Hollie
210.21,Cassondra,Larine
816.85,Libbie,Karolina
696.48,Eugine,Shaine
27.63,Lelah,Gertrud
281.18,Yvonne,Heddie
565.61,Janenna,Julieta
261.25,Harrietta,Brandise
199.39,Linet,Maisey
904.9,Demetris,Jorry
324.86,Candy,Annice
